호선,설치역,지상_지하,층,상세위치,충전설비수,동시충전,이용요금,역 주소,역 전화번호
3,만평,지상,2,대합실 ,1,2,무료,대구광역시 북구 팔달로 105(노원동3가),053-640-7431
3,팔달시장,지상,2,대합실 ,1,1,무료,대구광역시 북구 팔달로 163-1(노원동3가),053-640-7521
3,원대,지상,2,대합실 ,1,1,무료,대구광역시 서구 팔달로 224-2(원대동3가),053-640-7521
3,북구청,지상,2,대합실 ,1,1,무료,대구광역시 서구 원대로 71(원대동2가),053-640-7521
3,달성공원,지상,2,대합실 ,1,1,무료,대구광역시 중구 달성로 116(수창동),053-640-7521
3,서문시장,지상,2,대합실 ,1,1,무료,대구광역시 중구 달성로 50(대신동),053-640-7521
3,청라언덕,지상,2,대합실 ,1,2,무료,대구광역시 중구 남산로 80(남산동),053-640-7521
3,남산,지상,1,대합실 ,1,1,무료,대구광역시 중구 남산로 2(남산동),053-640-7581
3,명덕,지상,2,대합실 ,1,2,무료,대구광역시 남구 명덕로 186(대명동),053-640-7581
3,건들바위,지상,2,대합실 ,1,1,무료,대구광역시 남구 명덕로 260(이천동),053-640-7581
3,대봉교,지상,2,대합실 ,1,1,무료,대구광역시 남구 명덕로 330(이천동),053-640-7581
3,수성시장,지상,2,대합실 ,1,1,무료,대구광역시 수성구 명덕로 420(수성동2가),053-640-7581
3,수성구민운동장,지상,2,대합실 ,1,1,무료,대구광역시 수성구 동대구로 248(범어동),053-640-7581
3,어린이회관,지상,2,대합실 ,1,1,무료,대구광역시 수성구 동대구로 166(황금동),053-640-7611
3,황금,지상,2,대합실 ,1,1,무료,대구광역시 수성구 동대구로 100(두산동),053-640-7611
3,수성못,지상,2,대합실 ,1,1,무료,대구광역시 수성구 동대구로 14(지산동),053-640-7611
3,지산,지상,1,대합실 ,1,1,무료,대구광역시 수성구 지범로 100(지산동),053-640-7611
3,범물,지상,2,대합실 ,1,1,무료,대구광역시 수성구 지범로 194(범물동),053-640-7611
3,용지,지상,2,대합실 ,1,1,무료,대구광역시 수성구 범안로 83(범물동),053-640-7611
