호선,설치역,설치층,설치장소,설치위치,품명,제조사,설치연도,관할보건소,역주소,역전화번호
2,정평역,지하1층,대합실,게이트 안쪽 두번째 기둥 앞,CU-SP1,씨유메디칼,2020,경산시보건소,"경상북도 경산시 대학로 지하60(정평동, 정평역)",053-811-4753
2,정평역,지하2층,승강장,문양방면 3-4 방향,CU-SP1,씨유메디칼,2020,경산시보건소,"경상북도 경산시 대학로 지하60(정평동, 정평역)",053-811-4753
2,임당역,지하1층,대합실,역무실 앞(게이트 옆),CU-SP1,씨유메디칼,2020,경산시보건소,"경상북도 경산시 대학로 지하170(중방동, 임당역)",053-811-0732
2,임당역,지하3층,승강장,문양방면 3-1 방향,CU-SP1,씨유메디칼,2020,경산시보건소,"경상북도 경산시 대학로 지하170(중방동, 임당역)",053-811-0732
2,영남대역,지하1층,대합실,역무실 앞(게이트 옆),NT-180,오맥스,2017,경산시보건소,"경상북도 경산시 대학로 지하270 (대동, 영남대역)",053-801-3785
2,영남대역,지하3층,승강장,문양방면 E/L 3호기 앞,CU-SP1,씨유메디칼,2020,경산시보건소,"경상북도 경산시 대학로 지하270 (대동, 영남대역)",053-801-3785
3,칠곡경대병원역,지상2층,대합실,게이트 옆,CU-SP1,씨유메디칼,2020,북구보건소,대구 북구 팔거천동로 386(동호동),053-640-7381
3,학정역,지상2층,대합실,게이트 옆,CU-SP1,씨유메디칼,2020,북구보건소,대구 북구 팔거천동로 310(학정동),053-640-7381
3,팔거역,지상2층,대합실,게이트 옆,CU-SP1,씨유메디칼,2020,북구보건소,대구 북구 팔거천동로 226(동천동),053-640-7381
3,동천역,지상2층,대합실,정산기 옆,HR-501-B,라디안큐바이오,2019,북구보건소,대구 북구 팔거천동로 147(동천동),053-640-7381
3,칠곡운암역,지상2층,대합실,정산기 옆,CU-SP1,씨유메디칼,2020,북구보건소,대구 북구 팔거천동로 79(구암동),053-640-7381
3,구암역,지상2층,대합실,정산기 옆,CU-SP1,씨유메디칼,2020,북구보건소,대구 북구 팔거천동로 1(구암동),053-640-7381
3,태전역,지상2층,대합실,용지방면 E/S 앞,CU-SP1,씨유메디칼,2020,북구보건소,대구 북구 칠곡중앙대로 262(태전동),053-640-7431
3,매천역,지상2층,대합실,용지방면 E/S 앞,CU-SP1,씨유메디칼,2020,북구보건소,대구 북구 학정로 6(매천동),053-640-7431
3,매천시장역,지상2층,대합실,용지방면 소화전 옆,HR-501-B,라디안큐바이오,2019,북구보건소,대구 북구 매천로 18길 39(매천동),053-640-7431
3,팔달역,지상2층,대합실,용지방면 소화전 옆,CU-SP1,씨유메디칼,2020,북구보건소,대구 북구 매천로2길 43(팔달동),053-640-7431
3,공단역,지상2층,대합실,용지방면 안내부스 앞,CU-SP1,씨유메디칼,2020,북구보건소,대구 북구 팔달로 28(비산동),053-640-7431
3,만평역,지상2층,대합실,발매기옆,CU-SP1,씨유메디칼,2020,북구보건소,대구 북구 팔달로 105(노원동3가),053-640-7431
3,팔달시장역,지상2층,대합실,E/S 2호기 옆,CU-SP1,씨유메디칼,2020,북구보건소,대구 북구 팔달로 163-1(노원동3가),053-640-7521
3,원대역,지상2층,대합실,E/S 2호기 옆,CU-SP1,씨유메디칼,2020,서구보건소,대구 서구 팔달로 224-2(원대동3가),053-640-7521
3,북구청역,지상2층,대합실,환경사 대기실 옆,CU-SP1,씨유메디칼,2020,서구보건소,대구 서구 원대로 71(원대동2가),053-640-7521
3,달성공원,지상2층,대합실,사회복무요원 대기실 옆,CU-SP1,씨유메디칼,2020,중구보건소,대구 중구 달성로 116(수창동),053-640-7521
3,서문시장역,지상2층,대합실,칠곡경대병원방면 분전반 옆,CU-SP1,씨유메디칼,2020,중구보건소,대구 중구 달성로 50(대신동),053-640-7521
3,3청라언덕역,지상2층,대합실,칠곡방면 내부계단 옆,CU-SP1,씨유메디칼,2020,중구보건소,대구 중구 남산로 80(남산동),053-640-7521
3,남산역,지상1층,대합실,장애인화장실 옆,CU-SP1,씨유메디칼,2020,중구보건소,대구 중구 남산로 2(남산동),053-640-7581
3,3명덕역,지상2층,대합실,식수대 옆,CU-SP1,씨유메디칼,2020,남구보건소,대구 남구 명덕로 186(대명동),053-640-7581
3,건들바위역,지상2층,대합실,남자장애인화장실 앞,CU-SP1,씨유메디칼,2020,남구보건소,대구 남구 명덕로 260(이천동),053-640-7581
3,대봉교역,지상2층,대합실,남자장애인화장실 앞,CU-SP1,씨유메디칼,2020,남구보건소,대구 남구 명덕로 330(이천동),053-640-7581
3,수성시장역,지상2층,대합실,남자장애인화장실 앞,CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 명덕로 420(수성동2가),053-640-7581
3,수성구민운동장역,지상2층,대합실,E/S 6호기 옆,HR-501-B,라디안큐바이오,2019,수성구보건소,대구 수성구 동대구로 248(범어동),053-640-7581
3,어린이회관역,지상2층,대합실,화장실 앞,CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 동대구로 166(황금동),053-640-7611
3,황금역,지상2층,대합실,남자장애인화장실 앞,CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 동대구로 100(두산동),053-640-7611
3,수성못역,지상2층,대합실,사회복무요원 대기실 앞,HR-501-B,라디안큐바이오,2019,수성구보건소,대구 수성구 동대구로 14(지산동),053-640-7611
3,지산역,지상2층,대합실,남자장애인화장실 옆,CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 지범로 100(지산동),053-640-7611
3,범물역,지상2층,대합실,게이트 옆,CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 지범로 194(범물동),053-640-7611
3,용지역,지상2층,대합실,여자장애인화장실 옆,CU-SP1,씨유메디칼,2020,수성구보건소,대구 수성구 범안로 83(범물동),053-640-7611
